2017-08-16 18:23:54 | 592 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.030918 | 0.0311 | SELECT r.m_inter_id,r.m_openid,r.`status`,r.qrcode_url,r.qrcode_valid_time,r.actv_time,f.fans_key,f.fans_key saler,f.headimgurl,f.nickname,f.inter_id,f.openid,f.subscribe_time,f.unionid FROM iwide_openid_inter_id_rel r LEFT JOIN iwide_fans f ON r.inter_id=f.inter_id AND r.openid=f.openid WHERE r.inter_id='a450089706' AND r.openid='o9Vbtw5-BRCA9QpkJg158CCWxKvc' AND r.m_inter_id='a450089706' LIMIT 1 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:23:54 | 592 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.030165 | 0.03021 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a450089706' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:09 | 591 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.039841 | 0.039858 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a450089706' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:10 | 591 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.043225 | 0.043252 | SELECT * FROM `iwide_hotel_staff` WHERE `openid` = 'o9Vbtw5-BRCA9QpkJg158CCWxKvc' AND `inter_id` = 'a450089706' AND `status` = 2 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:10 | 591 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.026082 | 0.026261 | SELECT r.m_inter_id,r.m_openid,r.`status`,r.qrcode_url,r.qrcode_valid_time,r.actv_time,f.fans_key,f.fans_key saler,f.headimgurl,f.nickname,f.inter_id,f.openid,f.subscribe_time,f.unionid FROM iwide_openid_inter_id_rel r LEFT JOIN iwide_fans f ON r.inter_id=f.inter_id AND r.openid=f.openid WHERE r.inter_id='a450089706' AND r.openid='o9Vbtw5-BRCA9QpkJg158CCWxKvc' AND r.m_inter_id='a450089706' LIMIT 1 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:10 | 591 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.035176 | 0.035203 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a450089706' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:17 | 592 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.027695 | 0.027724 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a450089706' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:18 | 592 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.036288 | 0.036323 | SELECT * FROM `iwide_hotel_staff` WHERE `openid` = 'o9Vbtw5-BRCA9QpkJg158CCWxKvc' AND `inter_id` = 'a450089706' AND `status` = 2 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:18 | 592 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.0363 | 0.03648 | SELECT r.m_inter_id,r.m_openid,r.`status`,r.qrcode_url,r.qrcode_valid_time,r.actv_time,f.fans_key,f.fans_key saler,f.headimgurl,f.nickname,f.inter_id,f.openid,f.subscribe_time,f.unionid FROM iwide_openid_inter_id_rel r LEFT JOIN iwide_fans f ON r.inter_id=f.inter_id AND r.openid=f.openid WHERE r.inter_id='a450089706' AND r.openid='o9Vbtw5-BRCA9QpkJg158CCWxKvc' AND r.m_inter_id='a450089706' LIMIT 1 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:19 | 592 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.025542 | 0.02557 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a450089706' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:37 | 591 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.039301 | 0.039366 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a450089706' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:38 | 591 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.040636 | 0.040659 | SELECT * FROM `iwide_hotel_staff` WHERE `openid` = 'o9Vbtw5-BRCA9QpkJg158CCWxKvc' AND `inter_id` = 'a450089706' AND `status` = 2 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:38 | 591 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.036201 | 0.036377 | SELECT r.m_inter_id,r.m_openid,r.`status`,r.qrcode_url,r.qrcode_valid_time,r.actv_time,f.fans_key,f.fans_key saler,f.headimgurl,f.nickname,f.inter_id,f.openid,f.subscribe_time,f.unionid FROM iwide_openid_inter_id_rel r LEFT JOIN iwide_fans f ON r.inter_id=f.inter_id AND r.openid=f.openid WHERE r.inter_id='a450089706' AND r.openid='o9Vbtw5-BRCA9QpkJg158CCWxKvc' AND r.m_inter_id='a450089706' LIMIT 1 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-08-16 18:24:38 | 591 | /index.php | query | 91acc8790ea59f490bb169692ad078831e7ef2c7 | 0.038897 | 0.038924 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a450089706' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
